District,State,Growth,Sex_Ratio,Literacy,Key
Thane,Maharashtra,36.01%,886,84.53,ThaneMaharashtra
North Twenty Four Parganas,West Bengal,12.04%,955,84.06,North Twenty Four ParganasWest Bengal
Bangalore,Karnataka,47.18%,916,87.67,BangaloreKarnataka
Pune,Maharashtra,30.37%,915,86.15,PuneMaharashtra
Mumbai Suburban,Maharashtra,8.29%,860,89.91,Mumbai SuburbanMaharashtra
South Twenty Four Parganas,West Bengal,18.17%,956,77.51,South Twenty Four ParganasWest Bengal
Barddhaman,West Bengal,11.92%,945,76.21,BarddhamanWest Bengal
Ahmadabad,Gujarat,24.03%,904,85.31,AhmadabadGujarat
Murshidabad,West Bengal,21.09%,958,66.59,MurshidabadWest Bengal
Jaipur,Rajasthan,26.19%,910,75.51,JaipurRajasthan
Nashik,Maharashtra,22.30%,934,82.31,NashikMaharashtra
Surat,Gujarat,42.24%,787,85.53,SuratGujarat
Allahabad,Uttar Pradesh,20.63%,901,72.32,AllahabadUttar Pradesh
Paschim Medinipur,West Bengal,13.86%,966,78,Paschim MedinipurWest Bengal
Patna,Bihar,23.73%,897,70.68,PatnaBihar
Hugli,West Bengal,9.46%,961,81.8,HugliWest Bengal
Rangareddy,Andhra Pradesh,48.16%,961,75.87,RangareddyAndhra Pradesh
Nadia,West Bengal,12.22%,947,74.97,NadiaWest Bengal
East Godavari,Andhra Pradesh,5.16%,1006,70.99,East GodavariAndhra Pradesh
Purbi Champaran,Bihar,29.43%,902,55.79,Purbi ChamparanBihar
Purba Medinipur,West Bengal,15.36%,938,87.02,Purba MedinipurWest Bengal
Guntur,Andhra Pradesh,9.47%,1003,67.4,GunturAndhra Pradesh
Haora,West Bengal,13.50%,939,83.31,HaoraWest Bengal
Muzaffarpur,Bihar,28.14%,900,63.43,MuzaffarpurBihar
Belgaum,Karnataka,13.41%,973,73.48,BelgaumKarnataka
Moradabad,Uttar Pradesh,25.22%,906,56.77,MoradabadUttar Pradesh
Ghaziabad,Uttar Pradesh,42.27%,881,78.07,GhaziabadUttar Pradesh
Nagpur,Maharashtra,14.40%,951,88.39,NagpurMaharashtra
Chennai,Tamil Nadu,6.98%,989,90.18,ChennaiTamil Nadu
Azamgarh,Uttar Pradesh,17.11%,1019,70.93,AzamgarhUttar Pradesh
Lucknow,Uttar Pradesh,25.82%,917,77.29,LucknowUttar Pradesh
Kanpur Nagar,Uttar Pradesh,9.92%,862,79.65,Kanpur NagarUttar Pradesh
