District,State,Area_km2,Population,Key
Adilabad,Andhra Pradesh,"16,105","2,741,239",AdilabadAndhra Pradesh
Agra,Uttar Pradesh,"4,041","4,418,797",AgraUttar Pradesh
Ahmadabad,Gujarat,"8,107","7,214,225",AhmadabadGujarat
Ahmadnagar,Maharashtra,"17,048","4,543,159",AhmadnagarMaharashtra
Aizawl,Mizoram,"3,576","400,309",AizawlMizoram
Ajmer,Rajasthan,"8,481","2,583,052",AjmerRajasthan
Akola,Maharashtra,"5,676","1,813,906",AkolaMaharashtra
Alappuzha,Kerala,"1,415","2,127,789",AlappuzhaKerala
Aligarh,Uttar Pradesh,"3,650","3,673,889",AligarhUttar Pradesh
Alirajpur,Madhya Pradesh,"3,182","728,999",AlirajpurMadhya Pradesh
Allahabad,Uttar Pradesh,"5,482","5,954,391",AllahabadUttar Pradesh
Almora,Uttarakhand,"3,144","622,506",AlmoraUttarakhand
Alwar,Rajasthan,"8,380","3,674,179",AlwarRajasthan
Ambala,Haryana,"1,574","1,128,350",AmbalaHaryana
Ambedkar Nagar,Uttar Pradesh,"2,350","2,397,888",Ambedkar NagarUttar Pradesh
Amravati,Maharashtra,"12,210","2,888,445",AmravatiMaharashtra
Amreli,Gujarat,"7,397","1,514,190",AmreliGujarat
Amritsar,Punjab,"2,683","2,490,656",AmritsarPunjab
Anand,Gujarat,"3,204","2,092,745",AnandGujarat
Anantapur,Andhra Pradesh,"19,130","4,081,148",AnantapurAndhra Pradesh
Anantnag,Jammu and Kashmir,"3,574","1,078,692",AnantnagJammu and Kashmir
Anjaw,Arunachal Pradesh,"6,190","21,167",AnjawArunachal Pradesh
Anugul,Orissa,"6,375","1,273,821",AnugulOrissa
Anuppur,Madhya Pradesh,"3,747","749,237",AnuppurMadhya Pradesh
Araria,Bihar,"2,830","2,811,569",ArariaBihar
Ariyalur,Tamil Nadu,"1,940","754,894",AriyalurTamil Nadu
Arwal,Bihar,638,"700,843",ArwalBihar
Ashoknagar,Madhya Pradesh,"4,674","845,071",AshoknagarMadhya Pradesh
Auraiya,Uttar Pradesh,"2,016","1,379,545",AuraiyaUttar Pradesh
Aurangabad,Maharashtra,"3,305","2,540,073",AurangabadMaharashtra
Aurangabad,Maharashtra,"10,107","3,701,282",AurangabadMaharashtra
